country,granularity,year,population
Bhutan,Rural,2021,481.101
Bhutan,Urban,2021,363.051
Bhutan,Total,2022,780.914
Bhutan,Male,2022,418.19
Bhutan,Female,2022,362.724
Bhutan,Rural,2022,480.308
Bhutan,Urban,2022,372.601
Bhutan,Total,2023,786.385
Bhutan,Male,2023,420.683
Bhutan,Female,2023,365.702
Bhutan,Rural,2023,479.424
Bhutan,Urban,2023,382.078
Bolivia (Plurinational State of),Total,2019,11671.386
Bolivia (Plurinational State of),Male,2019,5873.939
Bolivia (Plurinational State of),Female,2019,5797.447
Bolivia (Plurinational State of),Rural,2019,3439.82
Bolivia (Plurinational State of),Urban,2019,7940.041
Bolivia (Plurinational State of),Total,2020,11816.299
Bolivia (Plurinational State of),Male,2020,5940.065
Bolivia (Plurinational State of),Female,2020,5876.234
Bolivia (Plurinational State of),Rural,2020,3449.008
Bolivia (Plurinational State of),Urban,2020,8094.974
Bolivia (Plurinational State of),Total,2021,11937.36
Bolivia (Plurinational State of),Male,2021,5989.944
Bolivia (Plurinational State of),Female,2021,5947.416
Bolivia (Plurinational State of),Rural,2021,3456.718
Bolivia (Plurinational State of),Urban,2021,8251.182
Bolivia (Plurinational State of),Total,2022,12077.154
Bolivia (Plurinational State of),Male,2022,6053.751
Bolivia (Plurinational State of),Female,2022,6023.404
Bolivia (Plurinational State of),Rural,2022,3462.941
Bolivia (Plurinational State of),Urban,2022,8408.607
Bolivia (Plurinational State of),Total,2023,12244.159
Bolivia (Plurinational State of),Male,2023,6135.731
Bolivia (Plurinational State of),Female,2023,6108.428
Bolivia (Plurinational State of),Rural,2023,3467.659
Bolivia (Plurinational State of),Urban,2023,8567.158
"Bonaire, Sint Eustatius and Saba",Total,2019,25.625
"Bonaire, Sint Eustatius and Saba",Male,2019,13.237
"Bonaire, Sint Eustatius and Saba",Female,2019,12.388
"Bonaire, Sint Eustatius and Saba",Rural,2019,6.502
"Bonaire, Sint Eustatius and Saba",Urban,2019,19.469
"Bonaire, Sint Eustatius and Saba",Total,2020,26.453
"Bonaire, Sint Eustatius and Saba",Male,2020,13.668
"Bonaire, Sint Eustatius and Saba",Female,2020,12.786
"Bonaire, Sint Eustatius and Saba",Rural,2020,6.54
"Bonaire, Sint Eustatius and Saba",Urban,2020,19.672
"Bonaire, Sint Eustatius and Saba",Total,2021,27.323
"Bonaire, Sint Eustatius and Saba",Male,2021,14.088
"Bonaire, Sint Eustatius and Saba",Female,2021,13.235
"Bonaire, Sint Eustatius and Saba",Rural,2021,6.571
"Bonaire, Sint Eustatius and Saba",Urban,2021,19.862
"Bonaire, Sint Eustatius and Saba",Total,2022,28.627
"Bonaire, Sint Eustatius and Saba",Male,2022,14.774
"Bonaire, Sint Eustatius and Saba",Female,2022,13.853
"Bonaire, Sint Eustatius and Saba",Rural,2022,6.592
"Bonaire, Sint Eustatius and Saba",Urban,2022,20.039
"Bonaire, Sint Eustatius and Saba",Total,2023,29.898
"Bonaire, Sint Eustatius and Saba",Male,2023,15.424
"Bonaire, Sint Eustatius and Saba",Female,2023,14.475
"Bonaire, Sint Eustatius and Saba",Rural,2023,6.608
"Bonaire, Sint Eustatius and Saba",Urban,2023,20.219
Bosnia and Herzegovina,Total,2019,3345.533
Bosnia and Herzegovina,Male,2019,1590.487
Bosnia and Herzegovina,Female,2019,1755.046
Bosnia and Herzegovina,Rural,2019,1798.985
Bosnia and Herzegovina,Urban,2019,1702.789
Bosnia and Herzegovina,Total,2020,3299.349
Bosnia and Herzegovina,Male,2020,1568.697
Bosnia and Herzegovina,Female,2020,1730.652
Bosnia and Herzegovina,Rural,2020,1783.4
Bosnia and Herzegovina,Urban,2020,1714.81
Bosnia and Herzegovina,Total,2021,3244.907
Bosnia and Herzegovina,Male,2021,1543.349
Bosnia and Herzegovina,Female,2021,1701.559
Bosnia and Herzegovina,Rural,2021,1766.129
Bosnia and Herzegovina,Urban,2021,1725.939
Bosnia and Herzegovina,Total,2022,3204.802
Bosnia and Herzegovina,Male,2022,1524.174
Bosnia and Herzegovina,Female,2022,1680.628
Bosnia and Herzegovina,Rural,2022,1747.673
Bosnia and Herzegovina,Urban,2022,1736.599
Bosnia and Herzegovina,Total,2023,3185.073
Bosnia and Herzegovina,Male,2023,1514.667
Bosnia and Herzegovina,Female,2023,1670.406
Bosnia and Herzegovina,Rural,2023,1728.254
Bosnia and Herzegovina,Urban,2023,1746.955
Botswana,Total,2019,2332.083
Botswana,Male,2019,1163.271
Botswana,Female,2019,1168.812
Botswana,Rural,2019,708.307
Botswana,Urban,2019,1666.329
Botswana,Total,2020,2365.894
Botswana,Male,2020,1180.817
Botswana,Female,2020,1185.076
Botswana,Rural,2020,703.554
Botswana,Urban,2020,1712.212
Botswana,Total,2021,2401.441
Botswana,Male,2021,1199.123
Botswana,Female,2021,1202.317
Botswana,Rural,2021,698.606
Botswana,Urban,2021,1757.85
Botswana,Total,2022,2439.892
Botswana,Male,2022,1217.995
Botswana,Female,2022,1221.897
Botswana,Rural,2022,693.476
Botswana,Urban,2022,1803.179
Botswana,Total,2023,2480.244
Botswana,Male,2023,1236.969
Botswana,Female,2023,1243.275
Botswana,Rural,2023,688.191
Botswana,Urban,2023,1848.155
Brazil,Total,2019,207455.459
Brazil,Male,2019,102280.732
Brazil,Female,2019,105174.727
Brazil,Rural,2019,27985.169
Brazil,Urban,2019,184407.548
Brazil,Total,2020,208660.842
Brazil,Male,2020,102844.473
Brazil,Female,2020,105816.37
Brazil,Rural,2020,27645.976
Brazil,Urban,2020,186217.07
Brazil,Total,2021,209550.294
Brazil,Male,2021,103236.465
Brazil,Female,2021,106313.829
Brazil,Rural,2021,27304.243
Brazil,Urban,2021,187973.657
Brazil,Total,2022,210306.415
Brazil,Male,2022,103548.935
Brazil,Female,2022,106757.48
Brazil,Rural,2022,26960.248
Brazil,Urban,2022,189675.703
Brazil,Total,2023,211140.729
Brazil,Male,2023,103913.061
Brazil,Female,2023,107227.668
Brazil,Rural,2023,26614.424
Brazil,Urban,2023,191322.786
British Virgin Islands,Total,2019,36.395
British Virgin Islands,Male,2019,17.16
British Virgin Islands,Female,2019,19.235
British Virgin Islands,Rural,2019,16.71
British Virgin Islands,Urban,2019,15.496
British Virgin Islands,Total,2020,37.135
British Virgin Islands,Male,2020,17.459
British Virgin Islands,Female,2020,19.676
British Virgin Islands,Rural,2020,16.802
British Virgin Islands,Urban,2020,15.832
British Virgin Islands,Total,2021,37.809
British Virgin Islands,Male,2021,17.731
British Virgin Islands,Female,2021,20.078
British Virgin Islands,Rural,2021,16.859
British Virgin Islands,Urban,2021,16.147
British Virgin Islands,Total,2022,38.319
British Virgin Islands,Male,2022,18.003
British Virgin Islands,Female,2022,20.317
British Virgin Islands,Rural,2022,16.884
British Virgin Islands,Urban,2022,16.438
British Virgin Islands,Total,2023,38.985
British Virgin Islands,Male,2023,18.413
British Virgin Islands,Female,2023,20.572
British Virgin Islands,Rural,2023,16.886
British Virgin Islands,Urban,2023,16.717
