Code zone (M49),Zone,Élément,Produit,Année,Unité,Valeur
178,Congo,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3746.2
188,Costa Rica,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,263.2
188,Costa Rica,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,247.8
188,Costa Rica,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,237.6
188,Costa Rica,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,282.4
384,Côte d'Ivoire,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4530
384,Côte d'Ivoire,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4800.7
384,Côte d'Ivoire,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,4355.6
384,Côte d'Ivoire,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,4569.3
191,Croatie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1417.2
191,Croatie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1479.4
191,Croatie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1153.5
191,Croatie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1220.2
208,Danemark,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1390.2
208,Danemark,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1427.8
208,Danemark,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,1762.5
208,Danemark,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,1821
818,Égypte,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,1869.4
